ID,Benchmark,?Solved,Bound,Time,#Backtracking,%Backtracking Type 2,Unsat core size,%unsat core
0,spider_bak-coffee_shop-0011.txt,False,3,60.006171,,,,
1,spider_bak-coffee_shop-0005.txt,False,3,60.002832,,,,
2,spider-manufactory_1-0036.txt,False,4,60.003286,,,,
3,spider-manufactory_1-0036.txt,False,4,60.00338,,,,
4,spider-movie_1-0012.txt,False,4,60.004543,,,,
5,spider_bak-manufactory_1-0003.txt,False,3,60.007576,,,,
6,spider-customer_deliveries-0004.txt,False,3,60.002657,,,,
7,spider_bak-inn_1-0009.txt,False,3,60.003693,,,,
8,spider-csu_1-0023.txt,False,3,59.985015,,,,
9,spider-csu_1-0023.txt,False,3,60.004107,,,,
10,spider-csu_1-0023.txt,False,3,60.003708,,,,
11,spider-soccer_2-0008.txt,False,3,60.003506,,,,
12,spider_bak-roller_coaster-0002.txt,False,3,60.007265,,,,
13,spider_bak-document_management-0001.txt,False,3,60.003505,,,,
14,spider_bak-loan_1-0015.txt,False,3,60.007198,,,,
15,db2csv-student_transcripts_tracking-0040_dev.txt,False,3,60.003517,,,,
16,spider-body_builder-0006.txt,False,3,60.00681,,,,
17,db2csv-museum_visit-0004_dev.txt,False,3,60.011201,,,,
18,spider_bak-candidate_poll-0007.txt,False,3,60.00368,,,,
19,spider-county_public_safety-0020.txt,False,3,60.00789,,,,
20,db2csv-pets_1-0033_dev.txt,False,3,60.002718,,,,
21,db2csv-pets_1-0033_dev.txt,False,3,60.004431,,,,
22,db2csv-pets_1-0033_dev.txt,False,3,60.002657,,,,
23,spider-medicine_enzyme_interaction-0020.txt,False,3,59.996728,,,,
24,spider_bak-entertainment_awards-0012.txt,False,3,60.003477,,,,
25,spider_bak-entertainment_awards-0012.txt,False,3,60.003055,,,,
26,spider_bak-entertainment_awards-0012.txt,False,3,60.005476,,,,
27,spider_bak-entertainment_awards-0012.txt,False,3,60.003731,,,,
28,spider_bak-entertainment_awards-0012.txt,False,3,60.005576,,,,
29,spider_bak-entertainment_awards-0012.txt,False,3,60.002114,,,,
30,spider_bak-entertainment_awards-0012.txt,False,3,59.999026,,,,
31,spider_bak-entertainment_awards-0012.txt,False,3,60.003666,,,,
32,spider_bak-entertainment_awards-0012.txt,False,3,60.003891,,,,
33,spider_bak-entertainment_awards-0012.txt,False,3,60.00387,,,,
34,spider_bak-cre_Docs_and_Epenses-0020.txt,False,3,60.00348,,,,
35,spider_bak-company_office-0003.txt,False,3,60.003672,,,,
36,spider_bak-company_office-0003.txt,True,2,0.370295,0.0,,,
37,spider_bak-company_office-0003.txt,True,2,0.298547,0.0,,,
38,spider_bak-company_office-0003.txt,True,2,0.312808,0.0,,,
39,spider_bak-company_office-0003.txt,True,2,0.295394,0.0,,,
40,spider_bak-company_office-0003.txt,True,2,0.680492,0.0,,,
41,spider_bak-company_office-0003.txt,True,2,0.371555,0.0,,,
42,spider_bak-company_office-0003.txt,True,2,0.492916,0.0,,,
43,spider_bak-company_office-0003.txt,True,2,0.272253,0.0,,,
44,spider_bak-company_office-0003.txt,True,2,0.420085,0.0,,,
45,spider_bak-company_office-0003.txt,True,2,0.381084,0.0,,,
46,spider_bak-company_office-0003.txt,True,2,0.274659,0.0,,,
47,spider_bak-company_office-0003.txt,False,3,60.00432,,,,
48,spider_bak-company_office-0003.txt,True,2,0.249978,0.0,,,
49,spider_bak-company_office-0003.txt,True,2,0.482082,0.0,,,
50,spider_bak-company_office-0003.txt,True,2,0.411816,0.0,,,
51,spider_bak-company_office-0003.txt,False,3,60.003805,,,,
52,spider_bak-company_office-0003.txt,True,2,0.456191,0.0,,,
53,spider_bak-company_office-0003.txt,True,2,0.268045,0.0,,,
54,spider_bak-company_office-0003.txt,True,2,0.38442,0.0,,,
55,spider_bak-company_office-0003.txt,True,2,0.365134,0.0,,,
56,spider_bak-music_4-0025.txt,False,3,60.003709,,,,
57,spider_bak-music_4-0025.txt,False,3,60.003684,,,,
58,spider_bak-music_4-0025.txt,False,3,60.003874,,,,
59,spider_bak-customers_and_addresses-0020.txt,True,2,0.270248,0.0,,,
60,spider_bak-customers_and_addresses-0020.txt,True,2,1.138845,0.0,,,
61,spider_bak-customers_and_addresses-0020.txt,True,2,0.263095,0.0,,,
62,spider_bak-ship_1-0008.txt,False,3,60.443627,,,,
63,spider-scientist_1-0003.txt,False,3,60.005553,,,,
64,spider-scientist_1-0003.txt,False,3,60.006725,,,,
65,spider-scientist_1-0003.txt,False,3,60.010587,,,,
66,spider-scientist_1-0003.txt,False,3,60.003312,,,,
67,spider-scientist_1-0003.txt,False,3,60.003486,,,,
