ID,Benchmark,?Solved,Counterexample,Bound,Time,#Iters,#Backtracking,%Backtracking Type 2,Unsat core sizes,M sizes,AST size,nodes changed
0,spider_bak-coffee_shop-0011.txt,False,,3,60.034373,,,,,,,
1,spider_bak-coffee_shop-0005.txt,False,,3,61.088975,,,,,,,
2,spider-manufactory_1-0036.txt,False,,3,60.859186,,,,,,,
3,spider-manufactory_1-0036.txt,False,,3,61.445588,,,,,,,
4,spider_bak-manufactory_1-0003.txt,False,,3,60.006429,,,,,,,
5,spider-customer_deliveries-0004.txt,True,"{'products': [['product_id', 'product_name', 'product_price', 'product_description'], [384, '0', 0, '0']], 'addresses': [['address_id', 'address_details', 'city', 'zip_postcode', 'state_province_county', 'country'], [386, '0', '0', '0', '0', '0']], 'customers': [['customer_id', 'payment_method', 'customer_name', 'customer_phone', 'customer_email', 'date_became_customer']], 'regular_orders': [['regular_order_id', 'distributer_id'], [388, None]], 'regular_order_products': [['regular_order_id', 'product_id']], 'actual_orders': [['actual_order_id', 'regular_order_id', 'order_status_code', 'actual_order_date'], [389, 388, '0', 0]], 'actual_order_products': [['actual_order_id', 'product_id']], 'customer_addresses': [['address_id', 'customer_id', 'date_from', 'address_type', 'date_to']], 'delivery_routes': [['route_id', 'route_name', 'other_route_details']], 'delivery_route_locations': [['location_code', 'route_id', 'location_address_id', 'location_name']], 'trucks': [['truck_id', 'truck_licence_number', 'truck_details']], 'employees': [['employee_id', 'employee_address_id', 'employee_name', 'employee_phone'], [396, None, '0', '0'], [395, 386, '0', '0']], 'order_deliveries': [['driver_employee_id', 'location_code', 'actual_order_id', 'truck_id', 'delivery_status_code', 'delivery_date']]}",2,5.806438,4.0,1.0,0.0,[2],[260],391.0,[101]
6,spider_bak-inn_1-0009.txt,True,"{'rooms': [['roomid', 'roomname', 'beds', 'bedtype', 'maxoccupancy', 'baseprice', 'decor'], ['king425', None, -554, 'king430', None, None, None]], 'reservations': [['code', 'room', 'checkin', 'checkout', 'rate', 'lastname', 'firstname', 'adults', 'kids']]}",2,2.529023,4.0,1.0,0.0,[2],[245],391.0,[101]
7,spider-csu_1-0023.txt,True,"{'campuses': [['id', 'campus', 'location', 'county', 'year'], [448, None, None, None, None], [449, None, None, None, None]], 'csu_fees': [['campus', 'year', 'campusfee']], 'degrees': [['year', 'campus', 'degrees']], 'discipline_enrollments': [['campus', 'discipline', 'year', 'undergraduate', 'graduate']], 'enrollments': [['campus', 'year', 'totalenrollment_ay', 'fte_ay']], 'faculty': [['campus', 'year', 'faculty'], [None, None, 0]]}",2,3.485172,4.0,1.0,0.0,[2],[274],416.0,[101]
8,spider_bak-roller_coaster-0002.txt,False,,3,60.01666,,,,,,,
9,db2csv-student_transcripts_tracking-0040_dev.txt,False,,3,63.771136,,,,,,,
10,spider-body_builder-0006.txt,False,,3,60.008126,,,,,,,
11,spider_bak-candidate_poll-0007.txt,False,,3,60.009996,,,,,,,
12,spider-county_public_safety-0020.txt,False,,3,60.00733,,,,,,,
13,db2csv-pets_1-0033_dev.txt,False,,3,60.929669,,,,,,,
14,db2csv-pets_1-0033_dev.txt,False,,2,60.878622,,,,,,,
15,spider-medicine_enzyme_interaction-0020.txt,True,"{'medicine': [['id', 'name', 'trade_name', 'fda_approved'], [381, '1', '1', None], [382, '1', '1', '438']], 'enzyme': [['id', 'name', 'location', 'product', 'chromosome', 'omim', 'porphyria'], [383, '1', '1', '1', '1', 1, '1'], [384, '1', '1', '1', '1', 1, '1']], 'medicine_enzyme_interaction': [['enzyme_id', 'medicine_id', 'interaction_type'], [384, 381, '1']]}",2,8.069729,4.0,1.0,0.0,[2],[255],398.0,[101]
16,spider_bak-entertainment_awards-0012.txt,False,,3,61.773917,,,,,,,
17,spider_bak-entertainment_awards-0012.txt,False,,2,61.765879,,,,,,,
18,spider_bak-entertainment_awards-0012.txt,False,,2,61.629424,,,,,,,
19,spider_bak-entertainment_awards-0012.txt,False,,2,61.17117,,,,,,,
20,spider_bak-entertainment_awards-0012.txt,False,,3,61.676598,,,,,,,
21,spider_bak-entertainment_awards-0012.txt,False,,3,63.583569,,,,,,,
22,spider_bak-entertainment_awards-0012.txt,False,,3,60.745128,,,,,,,
23,spider_bak-entertainment_awards-0012.txt,False,,2,63.047479,,,,,,,
24,spider_bak-entertainment_awards-0012.txt,False,,2,61.3862,,,,,,,
25,spider_bak-entertainment_awards-0012.txt,False,,2,60.532779,,,,,,,
