ID,Benchmark,?Solved,Time
0,spider_bak-coffee_shop-0011.txt,False,3.605173
1,spider_bak-coffee_shop-0005.txt,False,3.575524
2,spider-manufactory_1-0036.txt,False,2.752188
3,spider-manufactory_1-0036.txt,False,2.683096
4,spider_bak-manufactory_1-0003.txt,False,2.527901
5,spider-customer_deliveries-0004.txt,True,7.010091
6,spider_bak-inn_1-0009.txt,True,2.621752
7,spider-csu_1-0023.txt,True,4.045699
8,spider_bak-roller_coaster-0002.txt,False,2.74172
9,db2csv-student_transcripts_tracking-0040_dev.txt,False,6.086268
10,spider-body_builder-0006.txt,False,2.794465
11,spider_bak-candidate_poll-0007.txt,False,2.625838
12,spider-county_public_safety-0020.txt,False,2.567491
13,db2csv-pets_1-0033_dev.txt,False,3.048404
14,db2csv-pets_1-0033_dev.txt,False,2.91458
15,spider-medicine_enzyme_interaction-0020.txt,True,2.899258
16,spider_bak-entertainment_awards-0012.txt,False,3.062717
17,spider_bak-entertainment_awards-0012.txt,False,2.961299
18,spider_bak-entertainment_awards-0012.txt,False,2.977725
19,spider_bak-entertainment_awards-0012.txt,False,3.029348
20,spider_bak-entertainment_awards-0012.txt,False,3.26944
21,spider_bak-entertainment_awards-0012.txt,False,3.143277
22,spider_bak-entertainment_awards-0012.txt,False,3.00871
23,spider_bak-entertainment_awards-0012.txt,False,3.044779
24,spider_bak-entertainment_awards-0012.txt,False,2.963624
25,spider_bak-entertainment_awards-0012.txt,False,2.984717
26,spider_bak-company_office-0003.txt,False,3.646039
27,spider_bak-company_office-0003.txt,False,3.10655
28,spider_bak-company_office-0003.txt,False,3.034382
29,spider_bak-company_office-0003.txt,False,3.644837
30,spider_bak-company_office-0003.txt,False,4.94373
31,spider_bak-company_office-0003.txt,False,5.263873
32,spider_bak-company_office-0003.txt,False,4.407547
33,spider_bak-company_office-0003.txt,False,3.774805
34,spider_bak-company_office-0003.txt,False,4.170959
35,spider_bak-company_office-0003.txt,False,3.048669
36,spider_bak-company_office-0003.txt,False,3.346786
37,spider_bak-company_office-0003.txt,False,3.700958
38,spider_bak-company_office-0003.txt,False,3.438969
39,spider_bak-company_office-0003.txt,False,2.962243
40,spider_bak-company_office-0003.txt,False,3.033896
41,spider_bak-customers_and_addresses-0020.txt,False,4.46623
42,spider_bak-ship_1-0008.txt,False,2.933513
43,spider-scientist_1-0003.txt,False,4.40955
44,spider-scientist_1-0003.txt,True,3.318135
45,spider-scientist_1-0003.txt,True,3.093878
46,spider-mountain_photos-0013.txt,True,3.219142
47,spider-mountain_photos-0013.txt,True,3.097365
48,spider-mountain_photos-0013.txt,False,3.296537
49,spider-customers_and_products_contacts-0008.txt,False,4.874518
50,spider-theme_gallery-0004.txt,False,2.944618
51,spider_bak-mountain_photos-0002.txt,False,2.974498
52,spider-match_season-0008.txt,True,3.694695
53,db2csv-dog_kennels-0039_dev.txt,False,6.165146
54,db2csv-poker_player-0017_dev.txt,False,2.635042
55,db2csv-poker_player-0017_dev.txt,False,2.627685
56,db2csv-poker_player-0017_dev.txt,False,2.77883
57,db2csv-poker_player-0017_dev.txt,False,2.507996
58,db2csv-poker_player-0017_dev.txt,False,2.611021
59,db2csv-poker_player-0017_dev.txt,False,2.536432
60,spider-news_report-0010.txt,False,3.27997
61,db2csv-dog_kennels-0029_dev.txt,False,5.376076
62,spider_bak-county_public_safety-0002.txt,False,3.068294
63,spider_bak-company_office-0002.txt,False,3.733871
64,spider_bak-book_2-0003.txt,False,3.16182
65,spider_bak-body_builder-0008.txt,False,3.578851
66,spider_bak-body_builder-0008.txt,False,4.408139
67,spider_bak-body_builder-0020.txt,True,2.595873
68,spider-entrepreneur-0006.txt,False,4.184274
69,spider-entrepreneur-0006.txt,False,2.664499
70,spider-entrepreneur-0006.txt,False,2.877026
71,spider-body_builder-0007.txt,False,2.985544
