ProblemID,QueryID,?Refuted,Counterexample,Time,?VeriEQLRefuted,VeriEQL time,#Iters,#Backtracking,%Backtracking Type 2,Unsat core sizes,M sizes,solving times,AST size,nodes changed
619,0,,,,False,,,,,,,,,
619,1,,,,False,,,,,,,,,
619,2,,,,False,,,,,,,,,
619,3,,,,False,,,,,,,,,
619,4,,,,False,,,,,,,,,
619,5,False,"{'mynumbers': [['num'], [-410]]}",0.051724,False,,2.0,0.0,,[],[],"[0.007476, 0.010956]",6.0,[]
619,6,,,,False,,,,,,,,,
619,7,False,,12.42264,False,,2.0,1.0,1.0,[6],[6],[0.009005],6.0,[]
619,8,True,{'mynumbers': [['num']]},0.076046,False,,3.0,1.0,0.0,[1],[5],"[0.002094, 0.001334]",5.0,[2]
619,9,,,,False,,,,,,,,,
619,10,,,,False,,,,,,,,,
619,11,,,,False,,,,,,,,,
619,12,,,,False,,,,,,,,,
619,13,,,,False,,,,,,,,,
619,14,False,,15.589496,False,,2.0,1.0,1.0,[6],[6],[0.213302],6.0,[]
619,15,False,,15.083012,False,,2.0,1.0,1.0,[6],[6],[0.007981],6.0,[]
619,16,False,,13.432166,False,,2.0,1.0,1.0,[6],[6],[0.000833],6.0,[]
619,17,False,,19.820228,False,,2.0,1.0,1.0,[6],[6],[0.007374],6.0,[]
619,18,,,,False,,,,,,,,,
619,19,False,,13.583359,False,,2.0,1.0,1.0,[6],[6],[0.008824],6.0,[]
619,20,False,,14.425384,False,,2.0,1.0,1.0,[6],[6],[0.006499],6.0,[]
619,21,False,"{'mynumbers': [['num'], [None], [-410]]}",1.036067,False,,2.0,0.0,,[],[],"[0.00088, 0.002782]",7.0,[]
619,22,False,,21.696103,False,,2.0,1.0,1.0,[6],[6],[0.000823],6.0,[]
619,23,False,,20.486424,False,,2.0,1.0,1.0,[6],[6],[0.015997],6.0,[]
619,24,False,,16.949667,False,,2.0,1.0,1.0,[6],[6],[0.006807],6.0,[]
619,25,False,,17.485614,False,,2.0,1.0,1.0,[6],[6],[0.00705],6.0,[]
619,26,False,,21.166,False,,2.0,1.0,1.0,[6],[6],[0.00079],6.0,[]
619,27,,,,False,,,,,,,,,
619,28,,,,False,,,,,,,,,
619,29,True,"{'mynumbers': [['num'], [None], [None], [-6529]]}",0.047203,False,,2.0,0.0,,[],[],"[0.007056, 0.012236]",7.0,[]
619,30,False,,10.959449,False,,2.0,1.0,1.0,[6],[6],[0.015269],6.0,[]
619,31,False,,15.929209,False,,2.0,1.0,1.0,[6],[6],[0.000873],6.0,[]
619,32,False,,15.040915,False,,2.0,1.0,1.0,[6],[6],[0.000863],6.0,[]
619,33,False,,13.402053,False,,2.0,1.0,1.0,[6],[6],[0.000795],6.0,[]
619,34,,,,False,,,,,,,,,
619,35,False,,20.882112,False,,2.0,1.0,1.0,[6],[6],[0.007115],6.0,[]
619,36,False,,19.85238,False,,2.0,1.0,1.0,[6],[6],[0.007599],6.0,[]
619,37,False,"{'mynumbers': [['num'], [6], [237], [6]]}",0.043384,False,,2.0,0.0,,[],[],"[0.000718, 0.002118]",6.0,[]
619,38,False,"{'mynumbers': [['num'], [None], [None], [-410]]}",0.043381,False,,2.0,0.0,,[],[],"[0.000726, 0.002702]",6.0,[]
