ID,?Refuted,Time,Counterexample,#Iters,#Backtracking,%Backtracking Type 2,Unsat core size,%unsat core,solving times
0,False,,,,,,,,
1,True,1.80001,"{'r1': [['a', 'b'], [27, 35]], 'r2': [['a', 'b'], [27, None]]}",1,0,,,,[]
2,False,,,,,,,,
3,False,,,,,,,,
4,False,,,,,,,,
5,False,,,,,,,,
6,False,,,,,,,,
7,True,0.11247,"{'emp': [['name', 'dept', 'emp'], [23, 21, 22], [20, None, 22]], 'dept': [['dept', 'loc', 'mgr'], [21, 3, 22], [21, 3, 22]]}",1,0,,,,[]
8,True,0.022325,"{'r': [['a', 'b', 'c'], [5, None, -145], [9, None, 1], [10, 12, 12]]}",1,0,,,,[]
9,True,0.16918,"{'user': [['uid', 'uname', 'city'], [26, 27, 3]], 'picture': [['uid', 'size'], [24, 1000001], [24, 1000001]]}",1,0,,,,[]
10,False,,,,,,,,
11,False,,,,,,,,
12,False,,,,,,,,
13,True,0.02797,"{'emp': [['name', 'dept', 'emp'], [20, 19, 18], [20, 21, 20]], 'dept': [['dept', 'loc', 'mgr'], [16, 3, 17], [19, 3, 18], [20, None, 20]]}",1,0,,,,[]
14,True,0.147261,"{'a': [['x', 'ya'], [None, 37]], 'b': [['yb'], [37], [36]]}",1,0,,,,[]
15,True,0.023734,"{'a': [['x', 'ya', 'yx'], [None, 11, 'HELLO'], [10, 10, 'HELLO12']]}",1,0,,,,[]
16,False,,,,,,,,
17,False,1.144573,,64,0,,,,[]
18,False,,,,,,,,
19,True,0.039125,"{'r': [['a'], [None]]}",1,0,,,,[]
20,True,0.043874,"{'r': [['a1', 'a2'], [13, None]]}",1,0,,,,[]
21,False,0.084268,,4,0,,,,[]
22,False,,,,,,,,
23,False,,,,,,,,
24,True,0.052012,"{'r': [['a', 'b'], [1, None]]}",4,0,,,,[]
25,False,,,,,,,,
26,False,0.273448,,16,0,,,,[]
27,False,,,,,,,,
28,True,0.021004,"{'a': [['c'], [None]]}",1,0,,,,[]
29,False,,,,,,,,
