ID,?Refuted,Time,Counterexample,#Iters,#Backtracking,%Backtracking Type 2,Unsat core sizes,M sizes,solving times,AST size,nodes changed
0,False,,,,,,,,,,
1,False,,,,,,,,,,
2,False,,,,,,,,,,
3,False,,,,,,,,,,
4,False,,,,,,,,,,
5,False,0.310002,"{'depts': [['dname', 'dproj'], [4868428700195957925, 31]], 'teams': [['tmember', 'tproj'], [None, 31], [None, 31]], 'payroll': [['empl', 'pdept']]}",3,1,0.0,[9],[12],"[0.011569, 0.017923]",12,[10]
6,False,,,,,,,,,,
7,False,,,,,,,,,,
8,True,0.034979,"{'r': [['a', 'b', 'c'], [5, 10, -145], [5, 10, -635], [-900, 10, 1]]}",2,0,,[],[],"[0.009039, 0.009243]",4,[]
9,True,0.161622,"{'user': [['uid', 'uname', 'city'], [None, None, 3], [20, 21, 3], [20, 21, 3]], 'picture': [['uid', 'size'], [27, None]]}",3,1,0.0,[1],[11],"[0.01134, 0.024263]",11,[2]
10,False,,,,,,,,,,
11,False,,,,,,,,,,
12,False,,,,,,,,,,
13,True,0.084469,"{'emp': [['name', 'dept', 'emp'], [19, 19, None]], 'dept': [['dept', 'loc', 'mgr'], [19, 16, 19], [19, 17, 19], [19, 18, 19]]}",3,1,0.0,[3],[5],"[0.010062, 0.010502]",5,[3]
14,True,0.196251,"{'a': [['x', 'ya'], [28, None], [None, 31]], 'b': [['yb'], [31]]}",3,1,0.0,[3],[11],"[0.010566, 0.025747]",11,[4]
15,True,0.203745,"{'a': [['x', 'ya', 'yx'], [13, 13, 'HELLO10'], [13, 13, 'HELLO HI11'], [13, 12, 'HELLO HI']]}",3,1,0.0,[4],[4],"[0.009388, 0.010076]",4,[4]
16,False,,,,,,,,,,
17,False,,,,,,,,,,
18,False,,,,,,,,,,
19,False,,,,,,,,,,
20,False,,,,,,,,,,
21,False,1.186426,,4,3,0.6666666666666666,"[1, 2, 4]","[4, 4, 4]",[0.009941],4,"[2, 2]"
22,False,,,,,,,,,,
23,False,,,,,,,,,,
24,True,0.017856,"{'r': [['a', 'b'], [2, None], [2, 2]]}",1,0,,[],[],[0.008457],2,[]
25,False,,,,,,,,,,
26,False,,,,,,,,,,
27,False,,,,,,,,,,
28,True,0.034047,"{'a': [['c'], [None], [12], [12]]}",2,0,,[],[],"[0.009388, 0.008898]",4,[]
29,False,,,,,,,,,,
30,False,,,,,,,,,,
31,False,,,,,,,,,,
32,False,,,,,,,,,,
33,False,,,,,,,,,,
34,False,,,,,,,,,,
35,False,,,,,,,,,,
36,False,0.854745,,1,1,1.0,[2],[2],[],2,[]
37,False,,,,,,,,,,
38,False,,,,,,,,,,
39,False,,,,,,,,,,
40,False,,,,,,,,,,
41,False,,,,,,,,,,
42,False,6.821287,,2,1,1.0,[2],[12],[0.011018],12,[]
43,False,,,,,,,,,,
44,False,,,,,,,,,,
45,False,,,,,,,,,,
46,False,,,,,,,,,,
47,False,,,,,,,,,,
48,False,,,,,,,,,,
49,False,,,,,,,,,,
50,False,,,,,,,,,,
51,False,,,,,,,,,,
52,False,,,,,,,,,,
53,False,,,,,,,,,,
54,False,,,,,,,,,,
55,False,,,,,,,,,,
56,False,,,,,,,,,,
57,False,6.713476,,2,1,1.0,[2],[12],[0.011394],12,[]
58,False,,,,,,,,,,
59,True,0.02148,"{'course': [['course_id', 'title', 'dept_name', 'credits'], [None, 6, 13, 4], [10, None, 14, 4], [10, None, 10, None]], 'department': [['dept_name', 'building', 'budget'], [10, 10, 10], [10, 10, 10], [10, 10, 10]], 'instructor': [['id', 'name', 'salary', 'dept_name'], [10, 10, 10, 10], [10, 10, 10, 10], [10, 10, 10, 10]], 'teaches': [['id', 'course_id', 'sec_id', 'year', 'semester', 'instructor'], [10, 10, 10, 10, 10, 10], [10, 10, 10, 10, 10, 10], [10, 10, 10, 10, 10, 10]], 'section': [['course_id', 'sec_id', 'year', 'building', 'room_number', 'time_slot_id'], [10, 10, 10, 10, 10, 10], [10, 10, 10, 10, 10, 10], [10, 10, 10, 10, 10, 10]], 'takes': [['id', 'course_id', 'sec_id', 'year', 'grade'], [10, 10, 10, 10, 10], [10, 10, 10, 10, 10], [10, 10, 10, 10, 10]], 'student': [['id', 'name', 'dept_name', 'tot_cred'], [10, 10, 10, 10], [10, 10, 10, 10], [10, 10, 10, 10]]}",1,0,,[],[],[0.010434],3,[]
60,False,,,,,,,,,,
61,False,,,,,,,,,,
62,False,,,,,,,,,,
63,False,,,,,,,,,,
