ID,?Refuted,Time,Counterexample,#Iters,#Backtracking,%Backtracking Type 2,Unsat core sizes,M sizes,solving times,AST size,nodes changed
0,False,,,,,,,,,,
1,True,0.202738,"{'r1': [['a', 'b'], [28, None]], 'r2': [['a', 'b'], [28, None]]}",3,1,0.0,[4],[8],"[0.011287, 0.016872]",8,[5]
2,False,0.361656,,2,1,0.0,[10],[10],[0.011846],10,[]
3,False,0.330633,,3,2,0.5,"[3, 9]","[9, 9]",[0.010916],9,[4]
4,False,0.140221,,2,1,0.0,[8],[8],[0.010985],8,[]
5,False,0.293169,"{'depts': [['dname', 'dproj'], [72609272892094094, 33]], 'teams': [['tmember', 'tproj'], [25, 33], [26, 33]], 'payroll': [['empl', 'pdept'], [26, 37], [25, 72609272892094094]]}",4,2,0.0,"[9, 3]","[12, 12]","[0.01005, 0.026558]",12,"[10, 10]"
6,True,0.247446,"{'payroll': [['ssno', 'deptno'], [24, 29], [24, 29]], 'applicant': [['ssno', 'jobtitile', 'officeno'], [24, None, 26]]}",3,1,0.0,[8],[8],"[0.011264, 0.023561]",8,[8]
7,True,0.089359,"{'emp': [['name', 'dept', 'emp'], [22, 20, 21], [25, 24, None]], 'dept': [['dept', 'loc', 'mgr'], [20, 3, 21], [20, 3, 21]]}",3,1,0.0,[7],[7],"[0.009592, 0.014906]",7,[7]
8,True,0.033284,"{'r': [['a', 'b', 'c'], [5, 10, -145], [5, 10, -635], [-900, 10, 1]]}",2,0,,[],[],"[0.009501, 0.009227]",4,[]
9,True,0.171477,"{'user': [['uid', 'uname', 'city'], [27, 23, 3], [20, 21, 3], [27, 22, 3]], 'picture': [['uid', 'size'], [27, 1000002]]}",3,1,0.0,[1],[11],"[0.011601, 0.041916]",11,[2]
10,False,,,,,,,,,,
11,False,,,,,,,,,,
12,True,0.235529,"{'parts': [['pnum', 'qoh'], [25, 26], [27, 3]], 'supply': [['pnum', 'shipdate'], [27, -715], [None, -550], [27, -388]]}",7,5,0.2,"[7, 8, 4, 8, 8]","[10, 10, 10, 10, 10]","[0.009057, 0.014297]",10,"[6, 8, 9, 7, 7]"
13,True,0.067132,"{'emp': [['name', 'dept', 'emp'], [None, 20, None], [None, 20, 19], [22, 20, None]], 'dept': [['dept', 'loc', 'mgr'], [20, 16, 20], [20, 3, 19], [20, 17, 20]]}",3,1,0.0,[3],[5],"[0.008621, 0.009807]",5,[3]
14,True,0.153044,"{'a': [['x', 'ya'], [29, 28], [29, 28]], 'b': [['yb'], [28]]}",3,1,0.0,[3],[11],"[0.010148, 0.021588]",11,[4]
15,True,0.05798,"{'a': [['x', 'ya', 'yx'], [11, None, 'HELLO'], [11, None, 'HELLO'], [11, 13, 'HELLO HI']]}",3,1,0.0,[4],[4],"[0.008918, 0.008986]",4,[3]
16,False,2.002222,,4,3,0.3333333333333333,"[3, 4, 9]","[9, 9, 9]",[0.01066],9,"[4, 6]"
17,False,0.055529,,2,1,0.0,[6],[6],[0.011036],6,[]
18,False,0.079058,,2,1,0.0,[5],[5],[0.009377],5,[]
19,True,0.074002,"{'r': [['a'], [14], [None]]}",3,1,0.0,[6],[6],"[0.009949, 0.011774]",6,[6]
20,True,0.081013,"{'r': [['a1', 'a2'], [14, 15], [14, None]]}",3,1,1.0,[6],[6],"[0.010295, 0.013946]",6,[5]
21,False,0.089984,,3,2,0.5,"[1, 4]","[4, 4]",[0.010029],4,[2]
22,False,,,,,,,,,,
23,False,,,,,,,,,,
24,True,0.017363,"{'r': [['a', 'b'], [2, None], [2, 2]]}",1,0,,[],[],[0.008444],2,[]
25,False,,,,,,,,,,
26,False,0.116436,,4,3,0.3333333333333333,"[4, 4, 6]","[6, 6, 6]",[0.010002],6,"[4, 3]"
27,False,,,,,,,,,,
28,True,0.033127,"{'a': [['c'], [None], [12], [12]]}",2,0,,[],[],"[0.009257, 0.008967]",4,[]
29,False,0.469461,,2,1,0.0,[6],[6],[0.011155],6,[]
30,False,,,,,,,,,,
31,False,0.297095,,3,2,0.5,"[2, 6]","[6, 6]",[0.012361],6,[3]
32,False,0.471676,,8,7,0.14285714285714285,"[5, 4, 4, 4, 4, 4, 7]","[7, 7, 7, 7, 7, 7, 7]",[0.011951],7,"[5, 7, 6, 6, 6, 6]"
33,False,,,,,,,,,,
34,False,0.257405,,2,1,0.0,[7],[7],[0.009751],7,[]
35,False,,,,,,,,,,
36,False,0.051002,,1,1,1.0,[2],[2],[],2,[]
